	OptModel_0	OptModel_336	OptModel_1008	OptModel_1344	OptModel_1680	OptModel_2016	OptModel_2352	OptModel_2688	OptModel_3024	OptModel_3360	OptModel_3696	OptModel_4032	OptModel_4368	OptModel_4704	OptModel_5040	OptModel_5376	OptModel_5712	OptModel_6048	OptModel_6384	OptModel_6720	OptModel_7056	OptModel_7392	OptModel_7728	OptModel_8064	OptModel_8400	OptModel_8736
critere	3303760.0	3285820.0	3271870.0	3283120.0	3275460.0	3276060.0	3278860.0	3268750.0	3266110.0	3255420.0	3254250.0	3255040.0	3244720.0	3233300.0	3201220.0	3171080.0	3171950.0	3188160.0	3201310.0	3208450.0	3211200.0	3208100.0	3205420.0	3212160.0	1724340.0	115411.0
variables	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	407233.0	218161.0	14545.0
iter sans scal	51056.0	50040.0	51020.0	50160.0	50229.0	49875.0	51708.0	52566.0	53345.0	52853.0	52078.0	50288.0	50892.0	51611.0	50564.0	51335.0	48936.0	50210.0	49788.0	52176.0	51494.0	54288.0	50016.0	50099.0	29471.0	1534.0
temps sans scal	9.48	8.65	7.3420000000000005	7.64	8.36	7.76	8.84	9.07	9.96	9.17	9.27	7.76	9.0	9.02	8.72	13.95	10.7	12.77	14.39	13.06	12.62	15.87	13.08	14.0	6.38	0.14
iter scal auto	51072.0	50051.0	51026.0	50165.0	50236.0	49883.0	51713.0	52577.0	53346.0	52865.0	52080.0	50301.0	50902.0	51621.0	50567.0	51343.0	48940.0	50217.0	49794.0	52186.0	51492.0	54293.0	50036.0	50108.0	29472.0	1534.0
temps scal auto	22.23	28.39	23.51	22.76	28.68	24.01	31.24	41.76	25.47	29.35	29.65	28.82	29.94	29.86	29.65	25.86	23.59	23.8	24.05	37.69	35.36	30.84	26.96	27.18	11.35	0.22
iter scal geo	51072.0	50051.0	51026.0	50165.0	50236.0	49883.0	51713.0	52577.0	53346.0	52865.0	52080.0	50301.0	50902.0	51621.0	50567.0	51343.0	48940.0	50217.0	49794.0	52186.0	51492.0	54293.0	50036.0	50108.0	29472.0	1534.0
temps scal geo	23.43	30.66	25.58	23.94	29.8	24.67	25.35	30.86	25.72	30.66	30.37	29.3	30.59	32.73	35.86	28.25	23.25	24.27	23.86	30.39	30.17	27.0	23.35	23.35	8.81	0.15
iter scal equi	51070.0	50049.0	51029.0	50166.0	50236.0	49884.0	51711.0	52576.0	53347.0	52851.0	52084.0	50303.0	50905.0	51629.0	50568.0	51345.0	48940.0	50229.0	49796.0	52185.0	51493.0	54295.0	50041.0	50116.0	29472.0	1534.0
temps scal equi	30.79	36.39	31.36	28.76	36.49	29.05	31.5	29.07	25.11	28.39	29.28	27.76	30.47	27.88	29.27	25.66	22.97	22.24	23.82	28.64	27.78	25.34	24.09	25.67	9.19	0.18
obj	7051873950.0	6748857316.0	7143226567.0	6563839824.0	6198425300.0	5568626349.0	4878830355.0	4646665137.0	4381212868.0	4479336089.0	4539241371.0	4902988209.0	5286776525.0	5140844937.0	4682317153.0	5039120759.0	5550652935.0	5579126102.0	5784186364.0	5366335911.0	5512535097.0	6541602041.0	7153010717.0	5719402540.0	2586966531.0	170989457.0
